ID,Reached.on.Time_Y.N
4557,0
8896,0
3451,0
8271,1
8198,0
2838,1
3833,0
2081,1
6023,0
2805,1
1398,1
1969,1
7403,0
5151,0
10003,0
9515,0
6729,0
8426,0
4261,0
2545,1
8629,0
22,1
10126,0
6329,0
7665,0
1357,1
606,1
2456,1
6591,0
2050,1
2074,1
2068,1
9034,0
4404,0
7209,0
2843,1
7714,0
10254,0
6663,0
6881,1
6435,0
10544,0
5005,0
6011,0
159,1
10971,1
6771,0
1158,1
3803,0
10619,0
10371,0
6635,0
5823,0
4662,0
9084,0
3658,0
3114,1
1236,1
6368,0
7398,1
9249,0
7623,0
1568,1
2625,1
5010,0
5482,0
2834,1
5877,0
1878,1
4301,0
10503,0
7496,0
9765,0
4354,0
3860,0
3603,0
5309,0
1266,1
4618,0
2697,1
71,1
8858,0
8679,0
1291,1
5540,0
870,1
5766,1
7114,0
5207,0
7812,0
728,1
3826,0
3719,0
9623,0
3011,1
4363,0
7308,0
3580,0
8632,0
7751,0
6221,1
3720,0
4813,0
6511,0
7376,0
4498,1
8433,0
8682,0
2210,1
952,1
1639,1
4227,0
5122,0
6740,0
5158,0
2407,1
5569,0
10191,0
7893,0
9829,0
5124,0
2606,1
9196,0
966,1
3682,0
3484,0
8752,0
4915,0
1843,1
6903,0
3021,1
4823,0
7365,1
10963,0
6991,0
3906,0
8771,0
5610,0
781,1
6625,1
5481,0
2288,1
7038,0
9524,0
7767,0
9109,0
9726,0
10448,1
8072,1
6487,0
2624,1
9287,0
1747,1
3609,0
10746,0
5974,0
2967,1
8800,0
9372,0
1243,1
3518,0
851,1
4799,0
3517,1
3294,0
5843,0
4583,0
9191,0
5427,0
1466,1
8356,0
3509,0
3285,0
8401,0
6763,0
9503,0
10861,1
580,1
6140,0
4307,0
2652,1
3181,0
9895,0
8445,0
2964,1
1124,1
8225,0
6223,0
6398,0
1079,1
405,1
5150,0
8773,0
669,1
10073,0
3667,1
1595,1
879,1
2664,1
2310,1
6918,1
24,1
6704,0
1000,1
2121,1
8214,0
5159,0
10041,0
4488,0
10871,0
9123,0
8667,0
7467,0
519,1
3654,0
8879,0
1555,1
8136,0
1465,1
3768,0
5060,0
3497,0
3387,0
9778,0
8717,0
8289,0
2230,1
1251,1
9152,0
9925,0
8534,0
7853,0
7388,0
7829,0
8053,0
174,1
6969,0
1460,1
355,1
2397,1
10287,1
5206,0
4286,0
9320,0
8003,1
3026,1
9323,0
7978,0
4325,0
9447,0
13,1
1649,1
8418,0
9330,0
7643,0
852,1
1011,1
8898,0
4277,0
6170,0
1390,1
2437,1
170,1
1215,1
7250,0
4543,0
2499,1
10680,0
8699,0
10451,0
7445,0
8254,1
30,1
6523,0
10773,0
1652,1
1631,1
6694,0
7972,0
2816,1
3305,0
1350,1
9678,0
9140,1
9735,0
6651,0
8939,1
3943,0
2294,1
4231,0
9906,0
10413,0
9495,0
7840,0
4913,0
2645,1
10170,0
2881,1
1608,1
10043,0
5345,0
3774,0
7919,0
7680,0
8786,0
10951,0
1172,1
9635,0
7731,1
8393,1
5385,0
2385,1
7412,1
6550,0
3050,1
10031,0
4085,0
5192,0
10302,0
180,1
7444,0
6031,0
10016,1
6793,0
9872,1
4349,0
395,1
1847,1
398,1
8959,0
1380,1
